,Index,ID,Name,cluster
398,398,11933,Oda Nobuna no Yabou,1
399,399,6773,Shakugan no Shana III Final ,2
400,400,27831,Durarara x2 Ten,0
401,401,481,Yu Gi Oh Duel Monsters,2
402,402,19369,Outbreak Company,1
403,403,8086,Densetsu no Yuusha no Densetsu,0
404,404,7059,Black Rock Shooter OVA ,2
405,405,16,Hachimitsu to Clover,1
406,406,10568,Kamisama no Memochou,0
407,407,2026,Hayate no Gotoku ,2
408,408,31163,Dimension W,0
409,409,8424,MM ,1
410,410,44,Rurouni Kenshin Meiji Kenkaku Romantan Tsuioku hen,0
411,411,1559,Shijou Saikyou no Deshi Kenichi,2
412,412,64,Rozen Maiden,2
413,413,16417,Tamako Market,1
414,414,12291,Acchi Kocchi TV ,1
415,415,19429,Akuma no Riddle,0
416,416,61,D N Angel,2
417,417,4896,Umineko no Naku Koro ni,0
418,418,15037,Corpse Party Tortured Souls Bougyakusareta Tamashii no Jukyou,0
419,419,1571,Ghost Hunt,1
420,420,5525,07 Ghost,2
421,421,5042,Kiss x Sis,1
422,422,2418,Stranger Mukou Hadan,0
423,423,1222,Bokura ga Ita,1
424,424,21855,Hanamonogatari,0
425,425,22877,Seirei Tsukai no Blade Dance,2
426,426,15379,Kotoura san,1
427,427,20057,Space Dandy,1
428,428,5356,Canaan,0
429,429,7592,Nurarihyon no Mago,2
430,430,22145,Kuroshitsuji Book of Circus,0
431,431,7785,Yojouhan Shinwa Taikei,0
432,432,4835,Bleach Movie 3 Fade to Black Kimi no Na wo Yobu,2
433,433,3503,Kanokon,1
434,434,26349,Danna ga Nani wo Itteiru ka Wakaranai Ken,1
435,435,16009,Kamisama no Inai Nichiyoubi,0
436,436,20021,Sword Art Online Extra Edition,2
437,437,6211,Tokyo Magnitude 8 0,1
438,438,2923,Shugo Chara ,1
439,439,18397,Shingeki no Kyojin OVA,0
440,440,6747,Dance in the Vampire Bund,0
441,441,387,Haibane Renmei,1
442,442,442,Naruto Movie 1 Dai Katsugeki Yuki Hime Shinobu Houjou Dattebayo ,2
443,443,2581,Mobile Suit Gundam 00,0
444,444,1313,Digimon Adventure 02,2
445,445,20899,JoJo no Kimyou na Bouken Stardust Crusaders,0
446,446,6324,Omamori Himari,2
447,447,2129,True Tears,1
448,448,10490,Blood C,0
449,449,19775,Sidonia no Kishi,0
450,450,3092,Junjou Romantica,1
451,451,437,Perfect Blue,0
452,452,10521,Working 039 ,1
453,453,13535,Binbougami ga ,1
454,454,32438,Mayoiga,0
455,455,357,Bokusatsu Tenshi Dokuro chan,0
456,456,6033,Dragon Ball Kai,2
457,457,10213,Maji de Watashi ni Koi Shinasai ,1
458,458,16918,Gin no Saji,1
459,459,376,Elfen Lied Special,0
460,460,18677,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita ,1
461,461,27833,Durarara x2 Ketsu,0
462,462,9617,K On Movie,1
463,463,2926,Myself Yourself,1
464,464,27991,K Return of Kings,2
465,465,24455,Madan no Ou to Vanadis,0
466,466,3782,Kara no Kyoukai 2 Satsujin Kousatsu Zen ,0
467,467,28977,Gintama ,2
468,468,8460,Mirai Nikki,0
469,469,5300,Zoku Natsume Yuujinchou,1
470,470,801,Ghost in the Shell Stand Alone Complex 2nd GIG,0
471,471,5277,Sekirei Pure Engagement,2
472,472,27,Trinity Blood,0
473,473,14199,Oniichan dakedo Ai Sae Areba Kankeinai yo ne ,1
474,474,268,Golden Boy,2
475,475,29095,Grisaia no Rakuen,1
476,476,14349,Little Witch Academia,2
477,477,4282,Kara no Kyoukai 5 Mujun Rasen,0
478,478,28025,Tsukimonogatari,0
479,479,6922,Fate stay night Movie Unlimited Blade Works,2
480,480,4999,Asu no Yoichi ,1
481,481,5909,Seitokai no Ichizon,1
482,482,48, hack Sign,2
483,483,11761,Medaka Box,2
484,484,6675,Redline,0
485,485,3783,Kara no Kyoukai 3 Tsuukaku Zanryuu,0
486,486,21863,Mangaka san to Assistant san to The Animation,1
487,487,16035,Karneval TV ,2
488,488,2472,Naruto Shippuuden Movie 1,2
489,489,4901,Black Lagoon Roberta 039 s Blood Trail,0
490,490,8129,Kuragehime,1
491,491,20047,Sakura Trick,1
492,492,17513,Diabolik Lovers,0
493,493,31181,Owarimonogatari,0
494,494,18229,Gatchaman Crowds,1
495,495,3655,Nabari no Ou,2
496,496,30911,Tales of Zestiria the X,2
497,497,13599,Robotics Notes,1
498,498,16001,Kokoro Connect Michi Random,1
499,499,1827,Seirei no Moribito,2
500,500,24405,World Trigger,2
501,501,134,Gunslinger Girl,0
502,502,12967,Arcana Famiglia,2
503,503,27821,Fate stay night Unlimited Blade Works Prologue,2
504,504,21085,Witch Craft Works,2
505,505,469,Karin,1
506,506,10321,Uta no Prince sama Maji Love 1000 ,1
507,507,2963,Minami ke,1
508,508,210,Ranma ,1
509,509,11737,Ao no Exorcist Movie,2
510,510,329,Planetes,1
511,511,3702,Detroit Metal City,0
512,512,20767,Noragami OVA,2
513,513,5030,Maria Holic,1
514,514,1536,Busou Renkin,2
515,515,14131,Girls und Panzer,1
516,516,240,Genshiken,1
517,517,97,Last Exile,2
